strain1,strain2,strain3,GCF_000164965.1_ASM16496v1_genomic,GCF_000299595.1_ASM29959v1_genomic,GCF_001020245.1_Bbif04v4_genomic,GCF_001020255.1_Bbif02v4_genomic,GCF_001020335.1_Bbif08v4_genomic,GCF_001020355.1_Bbif01v4_genomic,GCF_001595435.1_ASM159543v1_genomic,GCF_003390735.1_ASM339073v1_genomic,GCF_003436575.1_ASM343657v1_genomic,GCF_003437945.1_ASM343794v1_genomic,GCF_003470585.1_ASM347058v1_genomic,GCF_003573895.1_ASM357389v1_genomic,GCF_005844365.1_ASM584436v1_genomic,GCF_009075765.1_ASM907576v1_genomic,GCF_009159095.1_ASM915909v1_genomic,GCF_900112465.1_IMG.taxon_2654588208_annotated_assembly_genomic,GCF_900445665.1_55147_E01_genomic,GCF_901212485.1_NZ_Bifidobacterium_bifidum_MC1_genomic
g003380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
g003381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003382,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
g003383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003385,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
g003386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003388,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003390,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003391,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
g003392,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
g003394,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1
g003395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003396,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003398,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
g003399,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003400,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
g003401,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003402,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0
g003403,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
g003404,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003405,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
g003406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
g003407,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
g003408,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003415,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
g003416,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003417,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003418,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
g003419,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
g003420,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
g003421,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003423,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003424,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
g003425,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003426,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
g003427,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003428,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
g003430,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1
g003431,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0
g003432,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
g003433,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1
g003434,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003435,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1
g003436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003437,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003439,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003445,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1
g003446,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
g003447,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
g003448,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003451,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
g003452,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003453,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003454,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0
g003455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003456,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003457,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
g003458,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003460,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003461,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
g003462,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003463,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003464,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003469,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003470,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003471,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
g003472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
g003473,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
g003474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003475,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0
g003476,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003477,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003478,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003479,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003480,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003481,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003483,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003485,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003486,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
g003487,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1
g003488,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0
g003489,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003491,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003492,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003493,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
g003494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003495,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0
g003496,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g003499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003500,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003501,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
g003502,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003503,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
g003504,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
g003505,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
g003506,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
g003507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003508,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003509,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003512,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003519,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003525,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
g003526,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003527,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
g003528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003529,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
g003530,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003533,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003545,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003546,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
g003551,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0
g003552,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003553,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003554,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003555,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003556,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003557,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003559,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
g003560,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003561,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003562,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
g003563,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003564,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003565,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
g003567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003568,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
g003569,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
g003570,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003572,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003575,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003577,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
g003580,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
g003581,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003582,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003583,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
g003584,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003585,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003587,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
g003588,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003589,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
g003590,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
g003591,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0
g003592,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003593,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003594,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
g003595,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003596,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003597,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0
g003598,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003599,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003600,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
g003601,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003604,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
g003605,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003606,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003607,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1
g003608,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003609,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003610,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003611,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003613,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
g003614,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
g003615,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
g003616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003618,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
g003619,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
g003621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003623,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003624,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003625,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0
g003626,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003628,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003629,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1
g003630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003631,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003632,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003633,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003634,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003635,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003636,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003637,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003638,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003639,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003640,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003641,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003642,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003643,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003644,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003645,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003646,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003647,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003648,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003649,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003650,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003651,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003652,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003653,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003654,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003655,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003656,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003657,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003658,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003660,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003661,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003662,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003663,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003664,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003666,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003668,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003669,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003670,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003671,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003673,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003674,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003675,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003676,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003678,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003683,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003684,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003685,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003686,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003687,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g003688,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003689,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
g003690,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1
